year,date,incident_number
2007,2007-01-01T00:00:00Z,101010701
2009,2009-01-01T00:00:00Z,101010901
2006,2006-01-03T00:00:00Z,101030601
2016,2016-01-05T00:00:00Z,101051602
2007,2007-01-06T00:00:00Z,101060701
2007,2007-01-06T00:00:00Z,101060702
2011,2011-01-06T00:00:00Z,101061101
2007,2007-01-07T00:00:00Z,101070701
2009,2009-01-07T00:00:00Z,101070901
2012,2015-09-04T00:00:00Z,101071201
2013,2013-01-08T00:00:00Z,101081301
2013,2013-01-08T00:00:00Z,101081302
2007,2007-01-09T00:00:00Z,101090702
2008,2008-01-09T00:00:00Z,101090801
2010,2010-01-10T00:00:00Z,101101001
2007,2007-01-11T00:00:00Z,101110701
2013,2013-01-12T00:00:00Z,101121301
2005,2005-01-13T00:00:00Z,101130501
2006,2006-01-13T00:00:00Z,101130601
2008,2008-01-13T00:00:00Z,101130701
2008,2008-01-13T00:00:00Z,101130803
2013,2012-01-13T00:00:00Z,101131201
2015,2015-01-13T00:00:00Z,101131501
2008,2008-01-15T00:00:00Z,101150801
2009,2009-01-15T00:00:00Z,101150901
2014,2014-01-15T00:00:00Z,101151401
2005,2005-01-16T00:00:00Z,101160502
2007,2007-01-16T00:00:00Z,101160701
2013,2013-01-16T00:00:00Z,101161301
2008,2008-01-17T00:00:00Z,101170801
2008,2008-01-17T00:00:00Z,101170802
2010,2010-01-17T00:00:00Z,101171001
2015,2015-01-17T00:00:00Z,101171501
2015,2015-01-17T00:00:00Z,101171502
2005,2005-01-18T00:00:00Z,101180501
2005,2005-01-18T00:00:00Z,101180502
2008,2008-01-18T00:00:00Z,101180801
2008,2008-01-18T00:00:00Z,101180803
2009,2009-01-18T00:00:00Z,101180901
2005,2005-01-19T00:00:00Z,101190501
2005,2005-01-20T00:00:00Z,101200501
2005,2005-01-21T00:00:00Z,101210501
2015,2015-01-21T00:00:00Z,101211501
2005,2005-01-23T00:00:00Z,101230501
2007,2007-01-23T00:00:00Z,101230701
2011,2011-01-23T00:00:00Z,101231101
2005,2005-01-24T00:00:00Z,101240501
2006,2006-01-25T00:00:00Z,101250601
2013,2013-01-25T00:00:00Z,101251301
2008,2008-01-26T00:00:00Z,101260801
2005,2005-01-27T00:00:00Z,101270501
2011,2011-01-27T00:00:00Z,101271101
2013,2013-01-28T00:00:00Z,101281301
2014,2014-01-28T00:00:00Z,101281401
2007,2007-01-29T00:00:00Z,101290702
2005,2005-01-30T00:00:00Z,101300501
2008,2008-01-30T00:00:00Z,101300801
2007,2007-02-01T00:00:00Z,102010701
2009,2009-02-01T00:00:00Z,102010901
2012,1940-09-04T00:00:00Z,102011201
2014,2014-02-01T00:00:00Z,102011401
2015,2015-02-01T00:00:00Z,102011501
2007,2007-02-02T00:00:00Z,102020701
2009,2009-02-02T00:00:00Z,102020901
2008,2008-02-03T00:00:00Z,102030802
2008,2008-02-03T00:00:00Z,102030803
2006,2006-02-04T00:00:00Z,102040601
2015,2015-02-04T00:00:00Z,102041501
2008,2008-02-05T00:00:00Z,102050801
2005,2005-02-06T00:00:00Z,102060501
2006,2006-02-06T00:00:00Z,102060601
2006,2006-02-07T00:00:00Z,102070601
2010,2010-02-07T00:00:00Z,102071001
2005,2005-02-08T00:00:00Z,102080501
2005,2005-02-08T00:00:00Z,102080502
2006,2006-02-08T00:00:00Z,102080601
2007,2007-02-10T00:00:00Z,102100701
2010,2010-02-10T00:00:00Z,102101001
2008,2008-02-11T00:00:00Z,102110801
2013,2013-02-11T00:00:00Z,102111301
