property_damage,value_property_damage,incident_summary
0,NA,"An alleged arms supplier to the Communist Party of India-Maoist (CPI-Maoist), identified as Ravi Kumar Chevori, was arrested from Cyberabad near Hyderabad. He had entered into a deal with the Maoists to supply arms and ammunition worth INR 40 lakh, which the city Police seized on December 28, 2006, and arrested three persons."
0,NA,"A Kamareddy dalam (squad) member belonging to the Janashakti faction of the Communist Party of India-Marxist-Leninist (CPI-ML-Janashakti), identified as Kotta Rajam, surrendered before the Police at Kamareddy in the Nizamabad District."
0,NA,"Senior CPI-Maoist 'Polit Bureau' and 'central committee' member and chief of its 'central-eastern regional bureau' monitoring the political affairs in Orissa and Chhattisgarh, B. Narayan Sanyal alias Navin, is arrested at Bhadrachalam in the Khammam District."
0,NA,A TDP leader and former Sarpanch of Jerrela Gram Panchayat in Visakha Agency of Vishakhapatnam District
1,"A blasting was reported, extent of damages was not reported","The CPI-Maoist cadres blasted coffee pulping units at Teegalabanda and Pedavalasa villages in G.K. Veedhi mandal and took away nearly 350 bags of graded coffee beans with them. The attack was carried out in protest against the December 27, 2006-killing of its top leaders, Wadkapur Chandramouli and his wife Karuna, in the agency area."
0,NA,Police recovered about INR 32 lakh cash from the Lachagudem forest area after a brief exchange of fire with the Maoists.
0,NA,Two ‘deputy commanders’ of the CPI-Maoist surrendered before the SP G. Srinivas in the Kakinada area of East Godavari District.
0,NA,Police personnel unearthed a CPI-Maoist arms dump near Koyyuru and recovered a large quantity of material used for making landmines and gadgets to set the mines off along with some medicines.
0,NA,"Eight extremists, including a Deruvada Area committee cadre of the CPI-Maoist, identified as Nimmaka Bangaraju (34), surrendered before Police at Parvathipuram in the Vizianagaram District. Bangaraju, a native of Kusa village in G. L. Puram mandal (administrative unit), was involved in several extremist activities."
1,Blasted the Forest Department Office and check-post,Around 50 Maoists belonging to the Korukonda Dalam and their sympathisers of the CPI-Maoist blasted the Forest Department Office and check-post at Lothugedda in Vishakhapatnam District to make their presence felt in the region.
0,NA,Suspected cadres of a CPI-Maoist 'action team' shot dead a home guard at Parnashala in Dummugudem mandal in Khammam District of Andhra Pradesh.
0,NA,"Police arrested two militia 'commanders' -- Nachika Kalinga and Vadaka Deruku -- of CMAS, a frontal organisation of CPI-Maoist, at Anasabhadra Road Junction in Makkuva mandal in Vizianagaram District of Andhra Pradesh."
0,NA,"Separately, Police arrested Bojja Boddaiah, a Maoist courier, near Bodu village and recovered two weapons from his possession."
0,NA,"The Devarakonda Police unearthed a dump reportedly planted by the CPI-Maoist near a remote Kambalapally village in the Nalgonda District and recovered two plastic drums. ""There are about 50 books in one of the drums,"" said the Deputy Superintendent of Police M. Srinivas."
1,porcelain and two tractor,"About 30 Naxalites (left wing extremists), at least 15 of them Gothikoya tribals, set ablaze a porcelain and a tractor of a civil contractor near Puligundala village"
0,NA,Andhra Pradesh Police killed two CPI-Maoist cadres during an encounter in the Kotapalli forest area near the Andhra Pradesh-Chhattisgarh border in the Khammam District.
0,NA,"At least seven cadres of CPI-Maoist and a constable of Greyhound, sustained injuries in an exchange of fire during a combing operation in the forest area between Cherla and Kitaram villages in Khammam District of Andhra Pradesh."
0,NA,"CPI-Maoist cadres kill a Home Guard, Sheikh Nazir, at Gundallupalli village in Guntur District, in retaliation to the earlier deaths of two Naxalites in Police firing."
0,NA,CPI-Maoist cadres trigger a series of landmine blasts targeting a Police party combing the forests of Murmur village in the Wajeedu area of Khammam District.
0,NA,"The Nalgonda District Police killed four CPI-Maoist cadres in an encounter on the outskirts of Yelamanagudem village in Gurrampodu mandal (administrative division). Unconfirmed sources said that a senior second rung leader, Betharaju Narasimha alias Mukku Ravi alias Janardhan, was among those killed. Superintendent of Police Vijay Kumar said that two to four Maoists might have managed to escape."
0,NA,"A deputy commander of Galikonda platoon of the CPI-Maoist, identified as P. Chinnabbai alias Ramakrishna, surrendered before the East Godavari Superintendent of Police B. Sreenivasulu at Kakinada."
0,NA,"A former Maoist female cadre, Veeramalla Pushpa (35), was found dead at her residence in Ramanthapur in Hyderabad under the Uppal Police limits."
0,NA,"An active member of the Galikonda 'area committee' of the CPI-Maoist, identified as Pangi Bhaskara Rao, was arrested at Chintapalli mandal"
0,NA,"A Maoist couple was killed in an exchange of fire with the Police in a forest area in the Govindraopet sub-division of Warangal District. The slain extremists were identified as Satayya alias Suresh Anna, Secretary of Warangal, Karimnagar and Khammam District units of the CPI-ML Praja Pratighatna group, and his wife Rani, who was a commander of the party's armed squad. The Police recovered a spring loading rifle, a pistol and two kit bags from them."
0,NA,"A senior cadre and District committee secretary of the CPI-Maoist, identified as Karamthota Govinda Naik alias Sanjeevi alias Raju, was killed in an encounter at Mullampalli village of Pullalacheruvu mandal in the Prakasam District. However, four other Maoists managed to escape."
0,NA,"A 35-year-old man, believed to be a SPO of Chhattisgarh Police, was stabbed to death by suspected militia members of the CPI-Moist during a cockfighting event near Kommanapalli village in Dummugudem mandal in Khammam District of Andhra Pradesh."
0,NA,"Naxalites also kill a former Naxalite, Narsimhlu, at Srigadha village in the Karimnagar District."
0,NA,"Two CPI-Maoist cadres, ‘central technical committee’ member Ivvi Mohan Reddy alias Umesh alias Mahesh alias Prakash and Jade Venkati alias Suresh alias Manganna, were arrested by the Police from Bhadrachalam in the Khammam District."
0,NA,"Bellampally Police in Adilabad District of Andhra Pradesh found an old CPI-Maoist dump in Mamidigattu forests, under Ramakrishnapur Police Station limits while conducting combing operations."
0,NA,"Two CPI-Maoist cadres were killed in an encounter with the Police in Buruguvada village of Vararamachandrapuram sub-division in Khammam District. The deceased extremists were identified as Aithu alias Bhagat, 25, and Madakam Kosa, 26. They were suspected to be the commander and deputy commander, respectively, of the Bhadrachalam local organisational squad."
0,NA,"An activist of the ruling Congress party, Payam Lakhmaiah, was stabbed to death by CPI-Maoist cadres in the Sampathnagar village of Khammam District. The Police said that a six-member action team of the CPI-Maoist from Kothaguda (Warangal District) struck at his house at 10 p.m. and killed him in the presence of his family members."
0,NA,A former Naxalite was hacked to death by his rivals near the Ngarajunasagar Project Guest house in the Khammam town.
1,Ashram of Sanjeeva Rao's spiritual guru,"CPI-Maoist cadres retaliated to the killing of one of its senior leaders Sharath and a militia member near Korukonda shandy on October 19, 2014, after it killed a native of Veeravaram village Sanjeeva Rao, by destroying an ashram of Sanjeeva Rao's spiritual guru Simhachalam at Gurramveedhi village in G. Madugula mandal administrative unit."
0,NA,Five persons were reportedly arrested in connection with the CPI-Maoist attack on an Ashramam in G. Madugula mandal in Visakhapatnam District.
0,NA,Suspected CPI-Maoist cadres kill two civilians in separate incidents at Mukundapuram and Kalagalla villages under Garladinne and Kuderu administrative division in the Anantapur District.
0,NA,Suspected CPI-Maoist cadres kill two civilians in separate incidents at Mukundapuram and villages under Garladinne and Kuderu administrative division in the Anantapur District.
0,NA,"A civilian, Samireddy Ganeshwar Rao of Beram village, was hacked to death by the CPI-Maoist cadres at Pulumamidi village in the G. Madugula sub-division of Visakhapatnam District."
0,NA,Police arrested three extremists working for the Sudhakar dalam of the CPI-Maoist in the Yellandu area in the Khammam District.
0,NA,"The Police recovered a landmine, weighing five kilograms, which was planted by the CPI-Maoist cadres at the forest village of Kaliveru in the Khammam District. The landmine was laid targeting the Police officials bound for Pedamidisileru village where the department had organised a health camp."
0,NA,A Naxalite belonging to the Penna Ahobilam squad of the CPI-Maoist is killed in an encounter with the Police at Jarutlarampuram village in Anantapur District while another is arrested at the same place.
0,NA,Naxalites of the CPI-Maoist kill a Telugu Desam Party (TDP) activist at Morjampadu village in the Machavaram administrative division of Guntur District.
0,NA,"CPI-Maoist activists shot dead a TDP activist, Kotturi Pocham, at Ankoda under Easgaon Police station limits in the Adilabad District."
0,NA,34 sympathisers of the CPI-Maoist militia surrendered before the SP M. Ravi Prakash at Rajavommangi in East Godavari District.
0,NA,"A teenager, belonging to a tribal community, is shot dead by CPI-Maoist cadres belonging to the Krishnapatti squad at Peddagattu in the Nalgonda District."
0,NA,"Ranga Reddy, a functionary of the youth wing of the ruling Congress party in Prakasam District, was killed by CPI-Maoist cadres in Laxmipuram village near the Nallamalla forest area."
0,NA,"A LWE belonging to the CPI-ML Praja Pratighatana, identified as Suresh alias Pratap Reddy, was killed in an exchange of fire with the Police near Busuraigutta hillocks in Allapalli Singaram forest area under Gundala Mandal (administrative unit) in Khammam District."
