incident_summary,dupe_count,incident_number,state,district,block,village_name,other_areas,constituency,longitude,latitude,year,date,perpetrator,first_action,second_action,third_action,action_successful,first_target,second_target,first_civilian_target,second_civilian_target,total_fatalities,govt_official_fatalities,civilian_fatalities,security_fatalities,maoist_fatalities,other_armed_grp_fatalities,total_injuries,govt_official_injuries,civilian_injuries,security_injuries,maoist_injuries,non_maoist_armed_group_injuries,property_damage,value_property_damage,total_abducted,total_arrests,commander_arrests,cadre_arrests,sympathizer_arrests,unknown_arrests,total_surrenders,commander_surrenders,cadre_surrenders,sympathizer_surrenders,unknown_surrenders
"Explosives were recovered from many places in Dantewada, Sukma, Narayanpur and Bastar regions where the Maoists had planted them in areas close to polling stations. Director General of Police Ramniwas said more than 15 IEDs were recovered from different parts of Bastar region.",4,311111306,Chhattisgarh,Dantewada,NA,NA,NA,NA,NA,NA,2013,2013-11-11T00:00:00Z,Maoist,Bombing,None,None,No,Government Infrastructure,No Target,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,No,NA,0,0,0,0,0,0,0,0,0,0,0
"Explosives were recovered from many places in Dantewada, Sukma, Narayanpur and Bastar regions where the Maoists had planted them in areas close to polling stations. Director General of Police Ramniwas said more than 15 IEDs were recovered from different parts of Bastar region.",4,311111307,Chhattisgarh,Sukma,NA,NA,NA,NA,NA,NA,2013,2013-11-11T00:00:00Z,Maoist,Bombing,None,None,No,Government Infrastructure,No Target,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,No,NA,0,0,0,0,0,0,0,0,0,0,0
"Explosives were recovered from many places in Dantewada, Sukma, Narayanpur and Bastar regions where the Maoists had planted them in areas close to polling stations. Director General of Police Ramniwas said more than 15 IEDs were recovered from different parts of Bastar region.",4,311111308,Chhattisgarh,Narayanpur,NA,NA,NA,NA,NA,NA,2013,2013-11-11T00:00:00Z,Maoist,Bombing,None,None,No,Government Infrastructure,No Target,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,No,NA,0,0,0,0,0,0,0,0,0,0,0
"Explosives were recovered from many places in Dantewada, Sukma, Narayanpur and Bastar regions where the Maoists had planted them in areas close to polling stations. Director General of Police Ramniwas said more than 15 IEDs were recovered from different parts of Bastar region.",4,311111309,Chhattisgarh,Bastar,NA,NA,NA,NA,NA,NA,2013,2013-11-11T00:00:00Z,Maoist,Bombing,None,None,No,Government Infrastructure,No Target,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,No,NA,0,0,0,0,0,0,0,0,0,0,0
"Five Maoist sympathisers were arrested from different places in the Sambalpur District. The sympathisers, Prashant Rout of Kusupur village under Balikuda Police limits in Jagatsinghpur, Ramesh Bag of Pathargarh village, Phuljain Soren of Gadpati village, Buthi Mirdha and Tarani Mirdha of Basupali village under Sambalpur Police limits had helped in shifting a Maoist who was injured in the January 5 encounter in Gadpati forest range under Jamankira Police limits.",4,1401170801,Odisha,Sambalpur,NA,Kusupur,NA,Balikuda-Ersama assembly constituency,20.038153,86.393417,2008,2008-01-17T00:00:00Z,Security,Arrest,None,None,Yes,Maoist,No Target,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,No,NA,0,1,0,0,1,0,0,0,0,0,0
"Five Maoist sympathisers were arrested from different places in the Sambalpur District. The sympathisers, Prashant Rout of Kusupur village under Balikuda Police limits in Jagatsinghpur, Ramesh Bag of Pathargarh village, Phuljain Soren of Gadpati village, Buthi Mirdha and Tarani Mirdha of Basupali village under Sambalpur Police limits had helped in shifting a Maoist who was injured in the January 5 encounter in Gadpati forest range under Jamankira Police limits.",4,1401170802,Odisha,Sambalpur,NA,Basupali,NA,Sambalpur parliamentary constituency,21.654241562,84.1092,2008,2008-01-17T00:00:00Z,Security,Arrest,None,None,Yes,Maoist,No Target,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,No,NA,0,2,0,0,2,0,0,0,0,0,0
"Five Maoist sympathisers were arrested from different places in the Sambalpur District. The sympathisers, Prashant Rout of Kusupur village under Balikuda Police limits in Jagatsinghpur, Ramesh Bag of Pathargarh village, Phuljain Soren of Gadpati village, Buthi Mirdha and Tarani Mirdha of Basupali village under Sambalpur Police limits had helped in shifting a Maoist who was injured in the January 5 encounter in Gadpati forest range under Jamankira Police limits.",4,1401170803,Odisha,Sambalpur,NA,Pathagarh,NA,Rairakhol assembly constituency,21.345856,84.125046,2008,2008-01-17T00:00:00Z,Maoist,Arrest,None,None,Yes,Maoist,No Target,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,No,NA,0,1,0,0,1,0,0,0,0,0,0
"Five Maoist sympathisers were arrested from different places in the Sambalpur District. The sympathisers, Prashant Rout of Kusupur village under Balikuda Police limits in Jagatsinghpur, Ramesh Bag of Pathargarh village, Phuljain Soren of Gadpati village, Buthi Mirdha and Tarani Mirdha of Basupali village under Sambalpur Police limits had helped in shifting a Maoist who was injured in the January 5 encounter in Gadpati forest range under Jamankira Police limits.",4,1401170804,Odisha,Sampbalpar,NA,Gadpati,NA,Kuchinda assembly constituency,21.585386,84.339745,2008,2008-01-17T00:00:00Z,Security,Arrest,None,None,Yes,Maoist,No Target,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,No,NA,0,1,0,0,1,0,0,0,0,0,0
"A CPI-Maoist cadre was killed in an exchange of fire with Para-military troopers assisted by Chhattisgarh Police in Edanar forest at Tadoki area in Kanker District. The Police arrested two Maoist cadres and recovered live bombs, arms, detonators and wires from the encounter site. Also reported that the Police destroyed the temporary Maoist camp set up there.",3,308031201,Chhattisgarh,Kanker,NA,Tadoki area,NA,Antagarh,19.9567,81.1639,2012,2012-08-03T00:00:00Z,Unknown,Armed Assault,None,None,Yes,Unknown,No Target,NA,NA,1,0,0,0,1,0,0,0,0,0,0,0,No,NA,0,0,0,0,0,0,0,0,0,0,0
"A CPI-Maoist cadre was killed in an exchange of fire with Para-military troopers assisted by Chhattisgarh Police in Edanar forest at Tadoki area in Kanker District. The Police arrested two Maoist cadres and recovered live bombs, arms, detonators and wires from the encounter site. Also reported that the Police destroyed the temporary Maoist camp set up there.",3,308031202,Chhattisgarh,Kanker,NA,Tadoki area,NA,Antagarh,19.9567,81.1639,2012,2012-08-03T00:00:00Z,Security,Arrest,"Seizure of Money, Weapons, Property etc",None,Yes,Maoist,No Target,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,No,NA,0,2,0,2,0,0,0,0,0,0,0
