incident_number,true_label,error_category,gpt4o_mini_pred,llama3_8b_pred,mistral_7b_pred,mixtral_8x7b_pred,t5xl_lora_pred,t5_large_pred,t5_base_pred,mt5_base_pred,nt5_small_pred,indicbart_pred,conflibert_poisson_pred,error_note,incident_summary
301140802.0,5,1. Likely labeling error,0,0,0,0,0,0,0,0,0,0,0,Narrative describes wounds/injuries not deaths; all models correctly predict 0,"Five CRPF personnel were wounded in an ambush by armed Maoists in a forest in the Narayanpur District of Chhattisgarh. About 150 Maoists attacked a joint Police party of the CRPF and District forces when the security force personnel were on a de-mining and area dominance operation in the Jharghati jungle, about 350 kilometers from State capital Raipur, the District Superintendent of Police Ajay Yadav said."
308241302.0,3,1. Likely labeling error,0,0,0,0,0,0,0,0,0,0,0,Narrative describes injuries not deaths; all models correctly predict 0,"Three District Police personnel, including a Head Constable, were injured in an encounter with CPI-Maoist cadres in Kondagaon District. SP D Shravan said a joint team of District Police and Chhattisgarh Armed Forces had left Bayanar Police Station for a search operation in nearby areas but the Maoists hiding near Mungawal Kotapara village started firing on the Police personnel as soon as the Police team reached near the village."
304061001.0,84,2. Revised count (follow-up report),76,76,76,76,76,79,2,75,2,75,33,Narrative: 75 CRPF + 1 SP = 76; label updated to 84 from a follow-up source (8 additional deaths),75 CRPF personnel and a State Policeman were killed in an attack by about 1000 CPI-Maoist cadres in Dantewada District.
807021301.0,6,2. Revised count (follow-up report),5,5,5,5,5,5,4,1,4,4,3,Narrative: SP + 4 constables = 5; 6th death likely recorded in follow-up report,Pakur District SP Amarjit Balihar (45) and four other Policemen were killed in an ambush by CPI-Maoist cadres in Kathikund forest area of Dumka District of Jharkhand. Balihar was returning from a meeting with DIG Priya Dubey in Dumka when his vehicle was attacked by Maoists between 2.30 and 3pm.
1210080901.0,33,3. Unconfirmed attacker deaths,18,18,18,18,21,19,18,18,18,18,23,Models count 18 confirmed police deaths; 15 Maoist deaths ('Police sources said… also killed') excluded by models,"Cadres of the CPI-Maoist killed at least 18 Policemen, including Sub-Inspector C. S. Deshmukh, in an ambush in the dense forests near Laheri Police Station in Gadchiroli District. The incident occurred when a 40 member Police party came under heavy fire from 150 to 200 Maoists at about 1pm (IST) when it was returning after undertaking search operations following intelligence inputs that Maoists had assembled in the area. District Collector Atul Patne told, ""As many as two platoons of BSF (50 personnel) and additional Police force was rushed to the spot and they could manage to save the rest of the Policemen caught in the heavy fire."" Police sources said that about 15 Maoists were also killed in the gun battle."
1405191101.0,24,3. Unconfirmed attacker deaths,16,16,15,16,24,4,13,4,4,1,4,Models count ~16 (explicit police + partial Maoist); '20+ Maoists killed' in two encounters undercounted; T5-XL-QLoRA correctly extracts 24,"Four Police personnel, including two SPOs and over 20 CPI-Maoist cadres were killed in two different encounters in Gadchiroli District. ""At around 7.30 a.m. in Nalgonda forest, four C60 commando search parties were ambushed by Naxalites. The ambush and exchange of fire went on for more than 1 hour and 15 minutes. One Police constable, Chinna Gilla Venta (30), was killed and two were injured,"" Rahul Sheth, Gadchiroli ASP Operations said. Sheth said 12-14 Naxals were killed. ""When our Police parties chased the Naxals, they ran away and left behind two bodies. An AK-47 magazine was found on one of the bodies, indicating that the deceased was a senior commander."""
1402150801.0,18,3. Unconfirmed attacker deaths,15,15,15,15,15,15,13,14,15,14,23,Models count 15 police+civilian; 3 Maoist deaths ('claimed… bodies not recovered') excluded by models,"14 Police personnel and a civilian were killed and four Policemen were wounded when around 500 heavily armed cadres of the CPI-Maoist attacked a Police Training School (PTS), the District armoury and District Police station in co-ordinated attacks near Daspalla in the Nayagarh District at around 10.45pm (IST). They also took away a cache of arms and ammunition in a bus they had hijacked in the District, about 100-km from State capital Bhubaneswar. Police sources claimed that three Maoists were also killed in the incident. However, their bodies have not been recovered and it is suspected that the Maoists before fleeing took away the bodies of their slain comrades. Before launching the attack, the Maoists, speaking in Hindi and Telugu, and suspected to be from neighbouring Chhattisgarh and Andhra Pradesh, announced that they would not harm the public as their target was the Police. The Police suspect it to be the handy work of Sabyasachi Panda, the CPI-Maoist Andhra-Orissa 'secretary'. Meanwhile, a red alert has been sounded in the State and the Police have started combing operations in the neighbouring Districts of Phulbani, Gajapati, Rayagada and Malkangiri in Orissa. The attack was the first of its kind in coastal Orissa. The District armoury and PTS were virtually emptied by the Maoists, the Police said."
802080801.0,14,3. Unconfirmed attacker deaths,2,2,2,2,2,2,2,2,2,2,2,Models count 2 CRPF; 12+ Maoist deaths ('police sources claimed… bodies taken away') excluded by models,"Two CRPF personnel were killed and four others injured during an encounter with cadres of the CPI-Maoist in Giridih District. The encounter followed an ambush by the Maoists on a Police patrol in the Madhuban forest area and it reportedly continued for over 12 hours. Police sources claimed that over a dozen Maoists were killed, but their colleagues managed to take away the bodies. Maoists also triggered seven landmine blasts during the encounter."
306091101.0,5,4. Succumbed to injuries,4,4,4,4,4,4,4,4,4,4,5,Narrative: 4 killed + 1 injured; injured trooper died; all models count 4,"The CPI-Maoist cadres opened indiscriminate fire near the camp of Chhattisgarh Armed Force in Narayanpur District, killing four troopers and leaving another injured. Some troopers of the force were involved in their regular chores near the camp of the 16th battalion of the Force in Bharaghati village when the Maoists started firing at them killing four troopers and leaving another injured, Ram Niwas, ADG anti-Maoist operations said. The Maoists also decamped with two weapons of the troopers, the senior officer said."
308171601.0,5,4. Succumbed to injuries,4,5,4,4,4,4,4,4,4,4,3,Narrative: 4 Maoists killed + trooper injured; trooper died; all models count 4,"Four CPI-Maoist cadres including a 'commander-rank' woman cadre were killed while a trooper was injured in an encounter between security personnel and the Maoists in Dantewada District. The skirmish took place in the wee hours in the restive Dabba-Kunna hills when a joint team of CRPF, DRG and STF was out on an anti-Maoist operation."
